SpeciesBROAD	BodyMass_kg	zvalues
Hylobates_lar	5.64	0.0818062091694655
Hylobates_klossii	5.8	0.0977525357308602
Hylobates_agilis	6	0.117685443932604
Hylobates_muelleri	5.35	0.0529034922769375
Hylobates_abbotti	5.95	0.112702216882168
Nomascus_concolor	7.69	0.286118518237336
Nomascus_gabriellae	5.2	0.0379538111256299
Nomascus_annamensis	7	0.217349984941321
Nomascus_siki	7.56	0.273162127906203
Eulemur_rubriventer	1.9975	-0.281221881454787
Eulemur_mongoz	1.375	-0.343263058232714
Eulemur_albifrons	2.04	-0.276986138461917
Eulemur_sanfordi	1.87	-0.293929110433398
Eulemur_fulvus	1.84	-0.29691904666366
Eulemur_rufus	2.01	-0.279976074692178
Eulemur_collaris	2.16	-0.26502639354087
Eulemur_coronatus	1.47	-0.333794926836885
Eulemur_macaco	2.063	-0.274693854018716
Eulemur_flavifrons	1.83	-0.297915692073747
Lemur_catta	2.21	-0.260043166490435
Prolemur_simus	1.98	-0.28296601092244
Hapalemur_occidentalis	0.9315	-0.38746428217008
Hapalemur_alaotrensis	1.24	-0.35671777126889
Hapalemur_griseus	0.823	-0.398277884869525
Hapalemur_meridionalis	0.96	-0.384623842751331
Varecia_rubra	3.265	-0.154897075726238
Varecia_variegata	3.55	-0.126492681538754
Indri_indri	6.465	0.164029455501657
Avahi_laniger	1.175	-0.363195966434457
Avahi_peyrierasi	1.055	-0.375155711355503
Propithecus_coronatus	3.9	-0.0916100921857025
Propithecus_tattersalli	3.5	-0.131475908589189
Propithecus_coquereli	3.785	-0.103071514401705
Propithecus_verreauxi	2.91	-0.190277987784333
Propithecus_edwardsi	5.74	0.0917726632703372
Propithecus_diadema	6.105	0.128150220738519
Propithecus_perrieri	4.41	-0.0407811762712567
Cheirogaleus_major	0.505	-0.429971208910298
Cheirogaleus_medius	0.176	-0.462760842902166
Mirza_zaza	0.29	-0.451399085227172
Microcebus_murinus	0.06	-0.474321929659177
Lepilemur_ruficaudatus	0.78	-0.4025634601329
Lepilemur_dorsalis	0.795	-0.40106849201777
Lepilemur_ankaranensis	0.76	-0.404556750953075
Lepilemur_septentrionalis	0.6275	-0.41776230263673
Daubentonia_madagascariensis	2.545	-0.226655545252514
Nycticebus_pygmaeus	0.42	-0.438442694896039
Nycticebus_coucang	0.65	-0.415519850464034
Nycticebus_bengalensis	1.26	-0.354724480448716
Loris_tardigradus	0.19	-0.461365539328043
Loris_lydekkerianus	0.27	-0.453392376047346
Arctocebus_calabarensis	0.31	-0.449405794406997
Perodicticus_ibeanus	0.861	-0.394490632311194
Perodicticus_potto	0.83	-0.397580233082464
Galagoides_demidovii	0.06	-0.474321929659177
Galago_senegalensis	0.25	-0.45538566686752
Galago_moholi	0.2	-0.460368893917956
Otolemur_crassicaudatus	1.15	-0.365687579959675
Otolemur_garnettii	0.76	-0.404556750953075
Tarsius_lariang	0.11	-0.469338702608741
Tarsius_wallacei	0.107	-0.469637696231767
Tarsius_bancanus	0.12	-0.468342057198654
