nome_famiglia	contrast_type	specie_con_valore_alto	specie_con_valore_basso	valore_specie_con_valore_alto	valore_specie_con_valore_basso	nu
Cercopithecidae	CONTROL	Papio_ursinus	Piliocolobus_gordonorum	22.3	7.05	0.84491622650696
Cercopithecidae	CONTROL	Rhinopithecus_roxellana	Miopithecus_ogouensis	14.75	1.25	0.844297081198621
Cercopithecidae	CONTROL	Papio_papio	Allochrocebus_lhoesti	17.5	5.5	0.843862771650397
Cercopithecidae	CONTROL	Theropithecus_gelada	Macaca_cyclopis	15.35	5.47	0.84279026566047
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_roloway	16.65	4.55	0.841369306337999
Cercopithecidae	CONTROL	Papio_ursinus	Trachypithecus_hatinhensis	22.3	7.275	0.840896846473378
Cercopithecidae	CONTROL	Macaca_thibetana	Chlorocebus_pygerythrus	15.55	4.665	0.840606708968586
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Presbytis_mitrata	20.375	5.8	0.83936034423174
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Erythrocebus_patas	20.375	9.45	0.839139737600196
Cercopithecidae	CONTROL	Papio_cynocephalus	Allochrocebus_lhoesti	17.05	5.5	0.83807905742122
Cercopithecidae	CONTROL	Papio_ursinus	Trachypithecus_phayrei	22.3	7.44	0.837966028496477
Cercopithecidae	CONTROL	Papio_ursinus	Piliocolobus_badius	22.3	8.25	0.837840205399203
Cercopithecidae	CONTROL	Macaca_thibetana	Cercopithecus_mona	15.55	4.05	0.837599996125726
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercocebus_torquatus	17.05	7.5	0.837237968885798
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Trachypithecus_hatinhensis	17	7.275	0.83666793036831
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_nictitans	17.05	5.46	0.835965133200263
Cercopithecidae	CONTROL	Papio_papio	Cercocebus_torquatus	17.5	7.5	0.835264511833155
Cercopithecidae	CONTROL	Mandrillus_sphinx	Theropithecus_gelada	23.6	15.35	0.835084330566839
Cercopithecidae	CONTROL	Papio_papio	Cercocebus_lunulatus	17.5	7.28	0.834433235639617
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_nictitans	17.5	5.46	0.83441260526756
Cercopithecidae	CONTROL	Nasalis_larvatus	Semnopithecus_vetulus	15.75	7.03	0.834095677340324
Cercopithecidae	CONTROL	Macaca_thibetana	Macaca_maura	15.55	7.88	0.83357351141242
Cercopithecidae	CONTROL	Macaca_tonkeana	Macaca_fascicularis	11.95	4.03	0.833285934855075
Cercopithecidae	CONTROL	Mandrillus_sphinx	Colobus_polykomos	23.6	9.1	0.832850934221589
