Trait	Species1	Species2	PatristicDistance	AbsDiff	AbsDiff_z	Nu	eNu
BodyMass_kg	Allenopithecus_nigroviridis	Mirza_zaza	31.289336	5.01	0.499319350453673	0.237736555023609	0.241
BodyMass_kg	Allenopithecus_nigroviridis	Nasalis_larvatus	8.450992	10.45	1.0414944535411	0.786221303360355	0.792
BodyMass_kg	Allenopithecus_nigroviridis	Nomascus_annamensis	17.096319	1.7	0.169429719714819	0.115713743217445	0.134
BodyMass_kg	Allenopithecus_nigroviridis	Nomascus_concolor	16.622619	2.39	0.238198253010834	0.164384604351975	0.178
BodyMass_kg	Allenopithecus_nigroviridis	Nomascus_gabriellae	17.096319	0.0999999999999996	0.00996645410087169	0.00635570153592713	0.009
BodyMass_kg	Allenopithecus_nigroviridis	Nomascus_siki	16.762911	2.26	0.225241862679701	0.146505920347372	0.145
BodyMass_kg	Allenopithecus_nigroviridis	Nycticebus_bengalensis	39.396419	4.04	0.402644745675218	0.161439983401507	0.166
BodyMass_kg	Allenopithecus_nigroviridis	Nycticebus_coucang	39.396419	4.65	0.463440115690535	0.187455699687474	0.184
BodyMass_kg	Allenopithecus_nigroviridis	Nycticebus_pygmaeus	37.222344	4.88	0.48636296012254	0.209999626246534	0.216
BodyMass_kg	Allenopithecus_nigroviridis	Otolemur_crassicaudatus	36.612006	4.15	0.413607845186177	0.193587359429379	0.207
BodyMass_kg	Allenopithecus_nigroviridis	Otolemur_garnettii	36.612006	4.54	0.452477016179576	0.200195821488645	0.206
BodyMass_kg	Allenopithecus_nigroviridis	Pan_paniscus	17.602498	33.8	3.36866148609464	0.99332528908331	0.994
BodyMass_kg	Allenopithecus_nigroviridis	Pan_troglodytes	17.602498	48.4	4.82376378482192	1	1
BodyMass_kg	Allenopithecus_nigroviridis	Perodicticus_ibeanus	35.234913	4.439	0.442410897537696	0.190155344316597	0.185
BodyMass_kg	Allenopithecus_nigroviridis	Perodicticus_potto	35.234913	4.47	0.445500498308966	0.196687216990625	0.203
BodyMass_kg	Allenopithecus_nigroviridis	Piliocolobus_badius	9.80652	2.95	0.294010395975716	0.276662313969821	0.281
BodyMass_kg	Allenopithecus_nigroviridis	Piliocolobus_gordonorum	10.920302	1.75	0.174412946765255	0.157838572144098	0.174
BodyMass_kg	Allenopithecus_nigroviridis	Piliocolobus_kirkii	10.920302	1.6	0.159463265613948	0.143135970088156	0.164
BodyMass_kg	Allenopithecus_nigroviridis	Piliocolobus_tephrosceles	10.779327	3.45	0.343842666480074	0.289709101310812	0.3
BodyMass_kg	Allenopithecus_nigroviridis	Pithecia_albicans	26.660656	2.3	0.22922844432005	0.109310195298942	0.103
BodyMass_kg	Allenopithecus_nigroviridis	Pithecia_chrysocephala	25.49174	3.4	0.338859439429639	0.178571911990264	0.181
BodyMass_kg	Allenopithecus_nigroviridis	Plecturocebus_bernhardi	25.356542	4.35	0.43354075338792	0.234088000611624	0.235
BodyMass_kg	Allenopithecus_nigroviridis	Plecturocebus_brunneus	25.604116	4.47	0.445500498308966	0.237774295531855	0.241
BodyMass_kg	Allenopithecus_nigroviridis	Plecturocebus_caligatus	25.549423	4.3	0.428557526337484	0.239036932061795	0.246
BodyMass_kg	Allenopithecus_nigroviridis	Plecturocebus_cinerascens	25.16654	4.56	0.454470306999751	0.245677900325815	0.251
