species	family	primate_group_code	primate_group
Cercopithecus_mona	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_neglectus	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_nictitans	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_petaurista	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_pogonias	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_roloway	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_sclateri	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_wolfi	Cercopithecidae	OWM	Old World monkeys
Cheirogaleus_andysabini	Cheirogaleidae	STR	Strepsirrhines
Cheirogaleus_crossleyi	Cheirogaleidae	STR	Strepsirrhines
Cheirogaleus_lavasoensis	Cheirogaleidae	STR	Strepsirrhines
Cheirogaleus_major	Cheirogaleidae	STR	Strepsirrhines
Cheirogaleus_medius	Cheirogaleidae	STR	Strepsirrhines
Cheirogaleus_minusculus	Cheirogaleidae	STR	Strepsirrhines
Cheirogaleus_shethi	Cheirogaleidae	STR	Strepsirrhines
Cheirogaleus_sibreei	Cheirogaleidae	STR	Strepsirrhines
Cheirogaleus_thomasi	Cheirogaleidae	STR	Strepsirrhines
Cheracebus_lucifer	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Cheracebus_lugens	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Cheracebus_medemi	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Cheracebus_purinus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Cheracebus_regulus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Cheracebus_torquatus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Chiropotes_albinasus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Chiropotes_chiropotes	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Chiropotes_israelita	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Chiropotes_sagulatus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Chiropotes_satanas	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Chiropotes_utahickae	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Chlorocebus_aethiops	Cercopithecidae	OWM	Old World monkeys
Chlorocebus_cynosuros	Cercopithecidae	OWM	Old World monkeys
Chlorocebus_djamdjamensis	Cercopithecidae	OWM	Old World monkeys
Chlorocebus_pygerythrus	Cercopithecidae	OWM	Old World monkeys
Chlorocebus_sabaeus	Cercopithecidae	OWM	Old World monkeys
Chlorocebus_tantalus	Cercopithecidae	OWM	Old World monkeys
Colobus_angolensis	Cercopithecidae	OWM	Old World monkeys
Colobus_guereza	Cercopithecidae	OWM	Old World monkeys
Colobus_polykomos	Cercopithecidae	OWM	Old World monkeys
Colobus_satanas	Cercopithecidae	OWM	Old World monkeys
Colobus_vellerosus	Cercopithecidae	OWM	Old World monkeys
Daubentonia_madagascariensis	Daubentoniidae	STR	Strepsirrhines
Erythrocebus_patas	Cercopithecidae	OWM	Old World monkeys
Erythrocebus_poliophaeus	Cercopithecidae	OWM	Old World monkeys
Eulemur_albifrons	Lemuridae	STR	Strepsirrhines
Eulemur_cinereiceps	Lemuridae	STR	Strepsirrhines
Eulemur_collaris	Lemuridae	STR	Strepsirrhines
Eulemur_coronatus	Lemuridae	STR	Strepsirrhines
Eulemur_flavifrons	Lemuridae	STR	Strepsirrhines
Eulemur_fulvus	Lemuridae	STR	Strepsirrhines
Eulemur_macaco	Lemuridae	STR	Strepsirrhines
Eulemur_mongoz	Lemuridae	STR	Strepsirrhines
Eulemur_rubriventer	Lemuridae	STR	Strepsirrhines
Eulemur_rufifrons	Lemuridae	STR	Strepsirrhines
Eulemur_rufus	Lemuridae	STR	Strepsirrhines
Eulemur_sanfordi	Lemuridae	STR	Strepsirrhines
Euoticus_elegantulus	Galagidae	STR	Strepsirrhines
Euoticus_pallidus	Galagidae	STR	Strepsirrhines
Galago_gallarum	Galagidae	STR	Strepsirrhines
Galago_matschiei	Galagidae	STR	Strepsirrhines
Galago_moholi	Galagidae	STR	Strepsirrhines
Galago_senegalensis	Galagidae	STR	Strepsirrhines
Galagoides_cocos	Galagidae	STR	Strepsirrhines
Galagoides_demidovii	Galagidae	STR	Strepsirrhines
Galagoides_granti	Galagidae	STR	Strepsirrhines
Galagoides_kumbirensis	Galagidae	STR	Strepsirrhines
Galagoides_orinus	Galagidae	STR	Strepsirrhines
Galagoides_rondoensis	Galagidae	STR	Strepsirrhines
Galagoides_thomasi	Galagidae	STR	Strepsirrhines
Galagoides_zanzibaricus	Galagidae	STR	Strepsirrhines
Gorilla_beringei	Hominidae	APE	Apes
Gorilla_gorilla	Hominidae	APE	Apes
Hapalemur_alaotrensis	Lemuridae	STR	Strepsirrhines
Hapalemur_aureus	Lemuridae	STR	Strepsirrhines
Hapalemur_griseus	Lemuridae	STR	Strepsirrhines
Hapalemur_meridionalis	Lemuridae	STR	Strepsirrhines
Hapalemur_occidentalis	Lemuridae	STR	Strepsirrhines
Hoolock_hoolock	Hylobatidae	APE	Apes
Hoolock_leuconedys	Hylobatidae	APE	Apes
Hoolock_tianxing	Hylobatidae	APE	Apes
Hylobates_abbotti	Hylobatidae	APE	Apes
Hylobates_agilis	Hylobatidae	APE	Apes
Hylobates_albibarbis	Hylobatidae	APE	Apes
Hylobates_funereus	Hylobatidae	APE	Apes
Hylobates_klossii	Hylobatidae	APE	Apes
Hylobates_lar	Hylobatidae	APE	Apes
Hylobates_moloch	Hylobatidae	APE	Apes
Hylobates_muelleri	Hylobatidae	APE	Apes
Hylobates_pileatus	Hylobatidae	APE	Apes
Indri_indri	Indriidae	STR	Strepsirrhines
Lagothrix_cana	Atelidae	PLA	New World monkeys (Platyrrhini)
